#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
gene_6476            -           1795 GH11.hmm             -            177         0 1057.0  44.0   1   6   1.4e-55     6e-53  178.7   1.0     4   169    47   224    44   234 0.92 [Caecom1]
gene_6476            -           1795 GH11.hmm             -            177         0 1057.0  44.0   2   6   2.3e-56     1e-53  181.2   1.2     4   169   396   573   393   583 0.92 [Caecom1]
gene_6476            -           1795 GH11.hmm             -            177         0 1057.0  44.0   3   6   1.7e-56   7.4e-54  181.7   1.1     4   169   657   834   654   844 0.92 [Caecom1]
gene_6476            -           1795 GH11.hmm             -            177         0 1057.0  44.0   4   6   1.9e-56   8.3e-54  181.5   1.9     4   169   930  1107   927  1117 0.92 [Caecom1]
gene_6476            -           1795 GH11.hmm             -            177         0 1057.0  44.0   5   6   2.8e-56   1.2e-53  180.9   1.6     4   169  1193  1370  1190  1380 0.92 [Caecom1]
gene_6476            -           1795 GH11.hmm             -            177         0 1057.0  44.0   6   6   4.3e-56   1.9e-53  180.3   1.7     4   169  1452  1629  1449  1639 0.92 [Caecom1]
gene_4350            -           1702 GH11.hmm             -            177    7e-145  478.1  42.6   1   4   4.7e-35   2.1e-32  111.8   2.6    12   171    58   236    49   244 0.89 [Caecom1]
gene_4350            -           1702 GH11.hmm             -            177    7e-145  478.1  42.6   2   4   5.3e-45   2.3e-42  144.2   4.5     2   170   295   470   294   477 0.92 [Caecom1]
gene_4350            -           1702 GH11.hmm             -            177    7e-145  478.1  42.6   3   4   1.4e-38   6.3e-36  123.3   8.2     2   169   537   717   536   728 0.92 [Caecom1]
gene_4350            -           1702 GH11.hmm             -            177    7e-145  478.1  42.6   4   4   1.9e-36   8.5e-34  116.3   3.8     2   169   791   966   790   974 0.90 [Caecom1]
gene_7938            -            764 GH11.hmm             -            177   1.1e-84  282.0  11.6   1   2   6.4e-44   2.8e-41  140.7   2.9     3   172    46   223    44   228 0.90 [Caecom1]
gene_7938            -            764 GH11.hmm             -            177   1.1e-84  282.0  11.6   2   2   1.7e-45   7.5e-43  145.8   1.5     3   172   427   604   425   609 0.90 [Caecom1]
gene_5475            -            661 GH11.hmm             -            177   8.4e-79  262.9   2.2   1   2   5.1e-41   2.3e-38  131.2   0.2     3   173    46   224    44   227 0.90 [Caecom1]
gene_5475            -            661 GH11.hmm             -            177   8.4e-79  262.9   2.2   2   2   5.1e-41   2.3e-38  131.2   0.2     3   173   343   521   341   524 0.90 [Caecom1]
gene_9737            -            559 GH11.hmm             -            177   8.1e-76  253.2   2.5   1   2   1.3e-39   5.9e-37  126.6   0.1     2   173    47   226    46   229 0.89 [Caecom1]
gene_9737            -            559 GH11.hmm             -            177   8.1e-76  253.2   2.5   2   2   2.1e-39   9.2e-37  126.0   0.2     2   173   331   510   330   513 0.89 [Caecom1]
gene_24013           -            745 GH11.hmm             -            177   1.2e-72  242.8   0.6   1   3   8.4e-19   3.7e-16   58.9   0.0    95   173     3    72     1    74 0.94 [Caecom1]
gene_24013           -            745 GH11.hmm             -            177   1.2e-72  242.8   0.6   2   3   1.1e-32   4.9e-30  104.1   0.1    21   173   197   357   178   360 0.84 [Caecom1]
